,Episode,Key,Line,Sender,Recipient,Origin,Destination,Event,Description
79,S06E05 The Door,526,Ramsay received a raven before I escaped Winterfell.,Brynden_Tully,Ramsay_Bolton,Riverrun,Castle_Black,Message,Ramsay received word that Blackfish has retaken Riverrun
80,S06E05 The Door,535,We can send the Blackfish a raven.,Sansa_Stark,Brynden_Tully,Castle_Black,Riverrun,Message,Sansa rallying support for the Starks in opposition to Ramsay
81,S06E06 Blood of My Blood,542,The Three-Eyed Raven sent for me.,NaN,NaN,NaN,NaN,Delete,NaN
82,S06E06 Blood of My Blood,543,The Three-Eyed Raven's dead.,NaN,NaN,NaN,NaN,Delete,NaN
83,S06E06 Blood of My Blood,565,You are the Three-Eyed Raven now.,NaN,NaN,NaN,NaN,Delete,NaN
84,S06E07 The Broken Man,417,We sent ravens to Houses Manderly...,Jon_Snow,Wyman_Manderly,Castle_Black,House_Manderly,Message,Rallying troops
85,S06E07 The Broken Man,418,I don't care about ravens.,NaN,NaN,NaN,NaN,Delete,NaN
86,S06E08 No One,291,We need to get a raven north to Sansa.,Brienne_Tarth,Sansa_Stark,Riverrun,The_North,Message,Brienne informs Sansa the Blackfish can't send reinforcements
87,S06E09 Battle of the Bastards,132,I haven't fed them for seven days. They're ravenous.,NaN,NaN,NaN,NaN,Delete,NaN
88,S06E10 The Winds of Winter,303,A raven came from the Citadel.,Sansa_Stark,Oldtown_Maesters,Citadel,Winterfell,Message,
89,S06E10 The Winds of Winter,304,A white raven.,NaN,NaN,NaN,NaN,Delete,NaN
90,S06E10 The Winds of Winter,515,I'm the Three-Eyed Raven now.,NaN,NaN,NaN,NaN,Delete,NaN
91,S07E01 Dragonstone,233,"A raven from King's Landing, Your Grace.",Cersei_Lannister,Jon_Snow,Kings_Landing,Winterfell,Message,Cercei orders Jon to bend the knee
92,S07E01 Dragonstone,37,I'm the three-eyed raven. I have to be ready for this.,NaN,NaN,NaN,NaN,Delete,NaN
93,S07E01 Dragonstone,588,You think soldiers get ravens with news from home?,NaN,NaN,NaN,NaN,Delete,NaN
94,S07E02 Stormborn,173,Send a raven north.,Daenerys_Targaryen,Jon_Snow,Dragonstone,Winterfell,Message,Daenerys orders Jon to bend the knee
95,S07E02 Stormborn,588,"A raven, my king, from the Citadel.",Samwell_Tarly,Jon_Snow,Citadel,Winterfell,Message,Dragonglass exists on Dragonstone
96,S07E02 Stormborn,589,Jon: This message was sent to me by Samwell Tarly.,Samwell_Tarly,Jon_Snow,Citadel,Winterfell,Message,Dragonglass exists on Dragonstone
97,S07E02 Stormborn,602,"and, if this message is to be believed,",Samwell_Tarly,Jon_Snow,Citadel,Winterfell,Message,Daenerys has three dragons
98,S07E03 The Queen's Justice,668,He kept a copy of every raven scroll.,Maester_Luwin,Sansa_Stark,Winterfell,Winterfell,Message,Keeping the stock on provisions for the coming winter
99,S07E03 The Queen's Justice,721,I'm the Three-Eyed Raven.,NaN,NaN,NaN,NaN,Delete,NaN
100,S07E03 The Queen's Justice,733,The Three-Eyed Raven taught me.,NaN,NaN,NaN,NaN,Delete,NaN
101,S07E03 The Queen's Justice,734,I thought you were the Three-Eyed Raven.,NaN,NaN,NaN,NaN,Delete,NaN
102,S07E04 The Spoils Of War,293,( raven cawing ),NaN,NaN,NaN,NaN,Delete,NaN
103,S07E05 Eastwatch,219,( ravens cawing ),NaN,NaN,NaN,NaN,Delete,NaN
104,S07E05 Eastwatch,220,( ravens cawing ),NaN,NaN,NaN,NaN,Delete,NaN
105,S07E05 Eastwatch,222,Ravens.,Maester_Wolkan,Oldtown_Maesters,Winterfell,Citadel,Message,Night-king marching on Eastwatch
106,S07E05 Eastwatch,223,We need to send ravens.,Bran_Stark,Oldtown_Maesters,Winterfell,Citadel,Message,Night-king marching on Eastwatch
107,S07E05 Eastwatch,234,thanks to the magical help of a raven with three eyes?,NaN,NaN,NaN,NaN,Delete,NaN
108,S07E05 Eastwatch,260,It's also possible that this message,Maester_Wolkan,Oldtown_Maesters,Winterfell,Citadel,Message,Night-king marching on Eastwatch
109,S07E05 Eastwatch,284,The ravenry was falling apart the last time I checked.,NaN,NaN,NaN,NaN,Delete,NaN
110,S07E06 Beyond The Wall,529,"Get a raven to Daenerys, tell her what's happened.",Jon_Snow,Daenerys_Targaryen,Beyond_The_Wall,Dragonstone,Message,Jon encounters wight army
111,S07E06 Beyond The Wall,550,"Raven, we need to send a raven.",Jon_Snow,Daenerys_Targaryen,Beyond_The_Wall,Dragonstone,Message,Jon encounters wight army
112,S07E06 Beyond The Wall,577,Jon: There's a raven flying for Dragonstone now.,Jon_Snow,Daenerys_Targaryen,Beyond_The_Wall,Dragonstone,Message,Jon encounters wight army
113,S07E07 The Dragon And The Wolf,478,Littlefinger: It's not easy for ravens to fly in these storms.,Jon_Snow,Sansa_Stark,Beyond_The_Wall,Winterfell,Message,Jon bends the knee for Daenarys
114,S07E07 The Dragon And The Wolf,551,I think it sends a better message.,Daenerys_Targaryen,Jon_Snow,Kings_Landing,Winterfell,Message,Message for the Lords of the north
115,S07E07 The Dragon And The Wolf,854,I became the Three-Eyed Raven.,NaN,NaN,NaN,NaN,Delete,NaN
